LAYER SALARIES,,,,,,,
RANK,NAME,TEAM,POS, SALARY ,YEARS, TOTAL VALUE , AVG ANNUAL 
467,Whit Merrifield,KC,2B," 1,187,500.00 ",4 (2019-22)," 16,250,000.00 "," 4,062,500.00 "
468,Brandon Lowe,TB,2B," 1,166,666.00 ",6 (2019-24)," 24,000,000.00 "," 4,000,000.00 "
469,Travis Jankowski,SD,OF," 1,165,000.00 ",1 (2019)," 1,165,000.00 "," 1,165,000.00 "
470,Melky Cabrera,PIT,LF," 1,150,000.00 ",1 (2019)," 1,150,000.00 "," 1,150,000.00 "
470,Brandon Workman,BOS,RP," 1,150,000.00 ",1 (2019)," 1,150,000.00 "," 1,150,000.00 "
472,Kevin Plawecki,CLE,C," 1,137,500.00 ",1 (2019)," 1,137,500.00 "," 1,137,500.00 "
473,Jose Martinez,STL,LF," 1,125,000.00 ",2 (2019-20)," 3,250,000.00 "," 1,625,000.00 "
473,Adam Conley,MIA,RP," 1,125,000.00 ",1 (2019)," 1,125,000.00 "," 1,125,000.00 "
475,Adam Morgan,PHI,RP," 1,100,000.00 ",1 (2019)," 1,100,000.00 "," 1,100,000.00 "
476,Josh Phegley,OAK,C," 1,075,000.00 ",1 (2019)," 1,075,000.00 "," 1,075,000.00 "
476,Nick Tropeano,LAA,SP," 1,075,000.00 ",1 (2019)," 1,075,000.00 "," 1,075,000.00 "
478,Mark Reynolds,COL,1B," 1,000,000.00 ",1 (2019)," 100,000.00 "," 100,000.00 "
478,Brad Miller,CLE,2B," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
478,Chris Herrmann,OAK,C," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
478,Hanley Ramirez,CLE,DH," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
478,Peter Bourjos,LAA,OF," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
478,Neil Ramirez,CLE,RP," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
478,Jeanmar Gomez,TEX,RP," 1,000,000.00 ",1 (2019)," 1,000,000.00 "," 1,000,000.00 "
485,Tony Wolters,COL,C," 960,000.00 ",1 (2019)," 960,000.00 "," 960,000.00 "
486,Curt Casali,CIN,C," 950,000.00 ",1 (2019)," 950,000.00 "," 950,000.00 "
487,Matt Andriese,ARI,RP," 920,000.00 ",1 (2019)," 920,000.00 "," 920,000.00 "
488,Greg Garcia,SD,2B," 910,000.00 ",1 (2019)," 910,000.00 "," 910,000.00 "
488,Blake Swihart,BOS,C," 910,000.00 ",1 (2019)," 910,000.00 "," 910,000.00 "
488,Roenis Elias,SEA,RP," 910,000.00 ",1 (2019)," 910,000.00 "," 910,000.00 "
491,John Ryan Murphy,ARI,C," 900,000.00 ",1 (2019)," 900,000.00 "," 900,000.00 "
491,Joe Biagini,TOR,RP," 900,000.00 ",1 (2019)," 900,000.00 "," 900,000.00 "
491,Xavier Cedeno,CHC,RP," 900,000.00 ",1 (2019)," 900,000.00 "," 900,000.00 "
491,Trevor May,MIN,RP," 900,000.00 ",1 (2019)," 900,000.00 "," 900,000.00 "
491,Marco Gonzales,SEA,SP," 900,000.00 ",2 (2019-20)," 1,900,000.00 "," 950,000.00 "
496,Ji-Man Choi,TB,1B," 850,000.00 ",1 (2019)," 850,000.00 "," 850,000.00 "
496,Jesus Sucre,BAL,C," 850,000.00 ",1 (2019)," 850,000.00 "," 850,000.00 "
498,Nate Karns,BAL,RP," 800,000.00 ",1 (2019)," 800,000.00 "," 800,000.00 "
498,Brian Flynn,KC,RP," 800,000.00 ",1 (2019)," 800,000.00 "," 800,000.00 "
498,Jesse Hahn,KC,SP," 800,000.00 ",1 (2019)," 800,000.00 "," 800,000.00 "
501,Guillermo Heredia,TB,OF," 782,000.00 ",1 (2019)," 782,000.00 "," 782,000.00 "
502,Alex Wilson,MIL,RP," 750,000.00 ",1 (2019)," 750,000.00 "," 750,000.00 "
502,Tony Barnette,CHC,RP," 750,000.00 ",1 (2019)," 750,000.00 "," 750,000.00 "
504,Andrew Benintendi,BOS,LF," 717,500.00 ",1 (2019)," 717,500.00 "," 717,500.00 "
505,Yimi Garcia,LAD,RP," 710,000.00 ",1 (2019)," 710,000.00 "," 710,000.00 "
506,Gordon Beckham,DET,2B," 700,000.00 ",1 (2019)," 700,000.00 "," 700,000.00 "
506,J.B. Shuck,PIT,OF," 700,000.00 ",1 (2019)," 700,000.00 "," 700,000.00 "
508,Josh Hader,MIL,RP," 687,600.00 ",1 (2019)," 687,600.00 "," 687,600.00 "
509,Aaron Judge,NYY,RF," 684,300.00 ",1 (2019)," 684,300.00 "," 684,300.00 "
510,Willson Contreras,CHC,C," 684,000.00 ",1 (2019)," 684,000.00 "," 684,000.00 "
511,Niko Goodrum,DET,2B," 670,500.00 ",1 (2019)," 670,500.00 "," 670,500.00 "
512,Gary Sanchez,NYY,C," 669,800.00 ",1 (2019)," 669,800.00 "," 669,800.00 "
513,Terrance Gore,KC,OF," 650,000.00 ",1 (2019)," 650,000.00 "," 650,000.00 "
513,Richard Rodriguez,PIT,RP," 650,000.00 ",1 (2019)," 650,000.00 "," 650,000.00 "
513,Shohei Ohtani,LAA,SP," 650,000.00 ",1 (2019)," 650,000.00 "," 650,000.00 "
513,Scott Barlow,KC,SP," 650,000.00 ",1 (2019)," 650,000.00 "," 650,000.00 "
517,Alex Bregman,HOU,3B," 640,500.00 ",1 (2019)," 640,500.00 "," 640,500.00 "
518,Jesus Aguilar,MIL,1B," 637,500.00 ",1 (2019)," 637,500.00 "," 637,500.00 "
519,Scott Schebler,CIN,CF," 625,000.00 ",1 (2019)," 625,000.00 "," 625,000.00 "
520,Jose Berrios,MIN,SP," 620,000.00 ",1 (2019)," 620,000.00 "," 620,000.00 "
521,Miguel Andujar,NYY,3B," 617,600.00 ",1 (2019)," 617,600.00 "," 617,600.00 "
522,Albert Almora Jr.,CHC,OF," 615,500.00 ",1 (2019)," 615,500.00 "," 615,500.00 "
523,Rafael Devers,BOS,3B," 614,500.00 ",1 (2019)," 614,500.00 "," 614,500.00 "
524,Zac Rosscup,SEA,RP," 610,000.00 ",1 (2019)," 610,000.00 "," 610,000.00 "
525,Zack Godley,ARI,SP," 609,400.00 ",1 (2019)," 609,400.00 "," 609,400.00 "
526,Edwin Diaz,NYM,RP," 607,425.00 ",1 (2019)," 607,425.00 "," 607,425.00 "
527,Joey Gallo,TEX,LF," 605,500.00 ",1 (2019)," 605,500.00 "," 605,500.00 "
528,Gleyber Torres,NYY,2B," 605,200.00 ",1 (2019)," 605,200.00 "," 605,200.00 "
529,Cody Bellinger,LAD,RF," 605,000.00 ",1 (2019)," 605,000.00 "," 605,000.00 "
530,Chad Green,NYY,RP," 598,650.00 ",1 (2019)," 598,650.00 "," 598,650.00 "
531,Brandon Nimmo,NYM,LF," 598,285.00 ",1 (2019)," 598,285.00 "," 598,285.00 "
532,Nick Pivetta,PHI,SP," 598,000.00 ",1 (2019)," 598,000.00 "," 598,000.00 "
533,Jordan Montgomery,NYY,SP," 596,600.00 ",1 (2019)," 596,600.00 "," 596,600.00 "
534,Ross Stripling,LAD,SP," 595,000.00 ",1 (2019)," 595,000.00 "," 595,000.00 "
535,Justin Miller,WSH,RP," 593,200.00 ",1 (2019)," 593,200.00 "," 593,200.00 "
536,Mike Clevinger,CLE,SP," 592,200.00 ",1 (2019)," 592,200.00 "," 592,200.00 "
537,Seth Lugo,NYM,RP," 591,875.00 ",1 (2019)," 591,875.00 "," 591,875.00 "
538,Max Stassi,HOU,C," 590,100.00 ",1 (2019)," 590,100.00 "," 590,100.00 "
538,Mitch Haniger,SEA,LF," 590,100.00 ",1 (2019)," 590,100.00 "," 590,100.00 "
540,Zach Eflin,PHI,SP," 590,000.00 ",1 (2019)," 590,000.00 "," 590,000.00 "
541,Jameson Taillon,PIT,SP," 587,500.00 ",1 (2019)," 587,500.00 "," 587,500.00 "
542,Josh Bell,PIT,1B," 587,000.00 ",1 (2019)," 587,000.00 "," 587,000.00 "
543,Brian Anderson,MIA,3B," 585,000.00 ",1 (2019)," 585,000.00 "," 585,000.00 "
543,Luke Jackson,ATL,RP," 585,000.00 ",1 (2019)," 585,000.00 "," 585,000.00 "
543,Dansby Swanson,ATL,SS," 585,000.00 ",1 (2019)," 585,000.00 "," 585,000.00 "
546,Adam Frazier,PIT,2B," 584,000.00 ",1 (2019)," 584,000.00 "," 584,000.00 "
546,Trevor Williams,PIT,SP," 584,000.00 ",1 (2019)," 584,000.00 "," 584,000.00 "
548,Tony Kemp,HOU,LF," 583,600.00 ",1 (2019)," 583,600.00 "," 583,600.00 "
549,Brian Goodwin,LAA,LF," 583,500.00 ",1 (2019)," 583,500.00 "," 583,500.00 "
550,Tyler White,HOU,1B," 582,900.00 ",1 (2019)," 582,900.00 "," 582,900.00 "
551,Robert Gsellman,NYM,RP," 582,500.00 ",1 (2019)," 582,500.00 "," 582,500.00 "
551,Joe Musgrove,PIT,SP," 582,500.00 ",1 (2019)," 582,500.00 "," 582,500.00 "
553,Hunter Renfroe,SD,RF," 582,100.00 ",1 (2019)," 582,100.00 "," 582,100.00 "
554,Matt Strahm,SD,SP," 581,700.00 ",1 (2019)," 581,700.00 "," 581,700.00 "
555,Kyle Crick,PIT,RP," 581,500.00 ",1 (2019)," 581,500.00 "," 581,500.00 "
555,Edgar Santana,PIT,RP," 581,500.00 ",1 (2019)," 581,500.00 "," 581,500.00 "
557,Luke Weaver,ARI,SP," 581,300.00 ",1 (2019)," 581,300.00 "," 581,300.00 "
558,Omar Narvaez,SEA,C," 581,200.00 ",1 (2019)," 581,200.00 "," 581,200.00 "
559,Wilmer Difo,WSH,2B," 581,100.00 ",1 (2019)," 581,100.00 "," 581,100.00 "
560,Jonathan Holder,NYY,RP," 580,300.00 ",1 (2019)," 580,300.00 "," 580,300.00 "
561,Matt Chapman,OAK,3B," 580,000.00 ",1 (2019)," 580,000.00 "," 580,000.00 "
561,Jesse Winker,CIN,LF," 580,000.00 ",1 (2019)," 580,000.00 "," 580,000.00 "
561,Reynaldo Lopez,CWS,SP," 580,000.00 ",1 (2019)," 580,000.00 "," 580,000.00 "
564,Ryon Healy,SEA,3B," 579,800.00 ",1 (2019)," 579,800.00 "," 579,800.00 "
565,Colin Moran,PIT,3B," 579,500.00 ",1 (2019)," 579,500.00 "," 579,500.00 "
565,Sam Gaviglio,TOR,RP," 579,500.00 ",1 (2019)," 579,500.00 "," 579,500.00 "
567,Luke Maile,TOR,C," 579,000.00 ",1 (2019)," 579,000.00 "," 579,000.00 "
568,Luis Cessa,NYY,SP," 578,975.00 ",1 (2019)," 578,975.00 "," 578,975.00 "
569,Teoscar Hernandez,TOR,LF," 578,600.00 ",1 (2019)," 578,600.00 "," 578,600.00 "
570,Elias Diaz,PIT,C," 578,500.00 ",1 (2019)," 578,500.00 "," 578,500.00 "
571,Mallex Smith,SEA,CF," 578,400.00 ",1 (2019)," 578,400.00 "," 578,400.00 "
572,Harrison Bader,STL,CF," 578,300.00 ",1 (2019)," 578,300.00 "," 578,300.00 "
572,Juan Soto,WSH,LF," 578,300.00 ",1 (2019)," 578,300.00 "," 578,300.00 "
574,Kevin McCarthy,KC,RP," 578,250.00 ",1 (2019)," 578,250.00 "," 578,250.00 "
574,Jakob Junis,KC,SP," 578,250.00 ",1 (2019)," 578,250.00 "," 578,250.00 "
576,Brad Keller,KC,SP," 578,175.00 ",1 (2019)," 578,175.00 "," 578,175.00 "
577,Hanser Alberto,BAL,3B," 578,000.00 ",1 (2019)," 578,000.00 "," 578,000.00 "
577,Chad Kuhl,PIT,SP," 578,000.00 ",1 (2019)," 578,000.00 "," 578,000.00 "
579,Ryan Brasier,BOS,RP," 577,500.00 ",1 (2019)," 577,500.00 "," 577,500.00 "
579,Domingo German,NYY,RP," 577,500.00 ",1 (2019)," 577,500.00 "," 577,500.00 "
581,Manuel Margot,SD,CF," 577,100.00 ",1 (2019)," 577,100.00 "," 577,100.00 "
582,Erik Gonzalez,PIT,SS," 577,000.00 ",1 (2019)," 577,000.00 "," 577,000.00 "
583,Matt Grace,WSH,RP," 576,400.00 ",1 (2019)," 576,400.00 "," 576,400.00 "
584,Adalberto Mondesi,KC,SS," 576,000.00 ",1 (2019)," 576,000.00 "," 576,000.00 "
585,Trey Mancini,BAL,LF," 575,500.00 ",1 (2019)," 575,500.00 "," 575,500.00 "
585,Amed Rosario,NYM,SS," 575,500.00 ",1 (2019)," 575,500.00 "," 575,500.00 "
587,Matt Olson,OAK,1B," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Max Muncy,LAD,1B," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Rhys Hoskins,PHI,1B," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Ozzie Albies,ATL,2B," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Johan Camargo,ATL,3B," 575,000.00 ",0 (2019)," 575,000.00 ", $NaN 
587,Yoan Moncada,CWS,3B," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Austin Barnes,LAD,C," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Mitch Garver,MIN,C," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Nick Williams,PHI,RF," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Luke Bard,LAA,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Jesse Biddle,ATL,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Shane Carle,ATL,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,A.J. Minter,ATL,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Scott Alexander,LAD,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Brandon Brennan,SEA,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Drew Steckenrider,MIA,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Brian Johnson,BOS,RP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Sean Newcomb,ATL,SP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
587,Kendall Graveman,CHC,SP," 575,000.00 ",1 (2019)," 575,000.00 "," 575,000.00 "
606,Tyler Naquin,CLE,RF," 574,800.00 ",1 (2019)," 574,800.00 "," 574,800.00 "
607,Silvino Bracho,ARI,RP," 574,600.00 ",1 (2019)," 574,600.00 "," 574,600.00 "
608,Mikie Mahtook,DET,CF," 574,500.00 ",1 (2019)," 574,500.00 "," 574,500.00 "
608,Steven Brault,PIT,RP," 574,500.00 ",1 (2019)," 574,500.00 "," 574,500.00 "
610,Jose Osuna,PIT,1B," 573,500.00 ",1 (2019)," 573,500.00 "," 573,500.00 "
610,Edubray Ramos,PHI,RP," 573,500.00 ",1 (2019)," 573,500.00 "," 573,500.00 "
612,Luke Voit,NYY,1B," 573,200.00 ",1 (2019)," 573,200.00 "," 573,200.00 "
613,Tim Hill,KC,RP," 573,175.00 ",1 (2019)," 573,175.00 "," 573,175.00 "
614,Lucas Giolito,CWS,SP," 573,000.00 ",1 (2019)," 573,000.00 "," 573,000.00 "
615,Kevan Smith,LAA,C," 572,500.00 ",1 (2019)," 572,500.00 "," 572,500.00 "
615,Jake Cave,MIN,OF," 572,500.00 ",1 (2019)," 572,500.00 "," 572,500.00 "
615,Richard Bleier,BAL,RP," 572,500.00 ",1 (2019)," 572,500.00 "," 572,500.00 "
615,Trevor Hildenberger,MIN,RP," 572,500.00 ",1 (2019)," 572,500.00 "," 572,500.00 "
619,Keon Broxton,NYM,CF," 571,765.00 ",1 (2019)," 571,765.00 "," 571,765.00 "
620,John Gant,STL,SP," 571,300.00 ",1 (2019)," 571,300.00 "," 571,300.00 "
621,Adam Engel,CWS,CF," 571,000.00 ",1 (2019)," 571,000.00 "," 571,000.00 "
621,Dylan Covey,CWS,RP," 571,000.00 ",1 (2019)," 571,000.00 "," 571,000.00 "
623,Buck Farmer,DET,RP," 570,800.00 ",1 (2019)," 570,800.00 "," 570,800.00 "
624,Jose Alvarado,TB,RP," 570,600.00 ",1 (2019)," 570,600.00 "," 570,600.00 "
625,Max Moroff,CLE,2B," 570,500.00 ",1 (2019)," 570,500.00 "," 570,500.00 "
625,Franmil Reyes,SD,RF," 570,500.00 ",1 (2019)," 570,500.00 "," 570,500.00 "
627,Joey Wendle,TB,3B," 570,400.00 ",1 (2019)," 570,400.00 "," 570,400.00 "
628,Daniel R. Robertson,TB,2B," 570,300.00 ",1 (2019)," 570,300.00 "," 570,300.00 "
629,Jorge Alfaro,MIA,C," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Lewis Brinson,MIA,CF," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Joey Rickard,BAL,RF," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Wandy Peralta,CIN,RP," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Walker Buehler,LAD,SP," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Trevor Richards,MIA,SP," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
629,Tyler Mahle,CIN,SP," 570,000.00 ",1 (2019)," 570,000.00 "," 570,000.00 "
636,Ronald Guzman,TEX,1B," 569,500.00 ",1 (2019)," 569,500.00 "," 569,500.00 "
636,Victor Caratini,CHC,C," 569,500.00 ",1 (2019)," 569,500.00 "," 569,500.00 "
636,Isiah Kiner-Falefa,TEX,C," 569,500.00 ",1 (2019)," 569,500.00 "," 569,500.00 "
639,John Brebbia,STL,RP," 569,300.00 ",1 (2019)," 569,300.00 "," 569,300.00 "
640,Joe Jimenez,DET,RP," 569,200.00 ",1 (2019)," 569,200.00 "," 569,200.00 "
641,Noe Ramirez,LAA,RP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
641,Miguel Castro,BAL,RP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
641,Nick Kingham,PIT,RP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
641,Dovydas Neverauskas,PIT,RP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
641,Jace Fry,CWS,RP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
641,Felix Pena,LAA,SP," 569,000.00 ",1 (2019)," 569,000.00 "," 569,000.00 "
647,Tyler Austin,MIN,1B," 568,600.00 ",1 (2019)," 568,600.00 "," 568,600.00 "
647,Sam Tuivailala,SEA,RP," 568,600.00 ",1 (2019)," 568,600.00 "," 568,600.00 "
649,Hector Velazquez,BOS,RP," 568,500.00 ",1 (2019)," 568,500.00 "," 568,500.00 "
650,Tim Mayza,TOR,RP," 568,300.00 ",1 (2019)," 568,300.00 "," 568,300.00 "
650,Brent Suter,MIL,SP," 568,300.00 ",1 (2019)," 568,300.00 "," 568,300.00 "
652,Eric Skoglund,KC,SP," 568,175.00 ",1 (2019)," 568,175.00 "," 568,175.00 "
653,Jeff McNeil,NYM,3B," 567,714.00 ",1 (2019)," 567,714.00 "," 567,714.00 "
654,Ben Gamel,MIL,OF," 567,700.00 ",1 (2019)," 567,700.00 "," 567,700.00 "
655,Jacob Barnes,MIL,RP," 567,600.00 ",1 (2019)," 567,600.00 "," 567,600.00 "
655,Matt Koch,ARI,RP," 567,600.00 ",1 (2019)," 567,600.00 "," 567,600.00 "
657,Reyes Moronta,SF,RP," 567,500.00 ",1 (2019)," 567,500.00 "," 567,500.00 "
657,Trevor Gott,SF,RP," 567,500.00 ",1 (2019)," 567,500.00 "," 567,500.00 "
657,Amir Garrett,CIN,RP," 567,500.00 ",1 (2019)," 567,500.00 "," 567,500.00 "
657,Chris Stratton,LAA,SP," 567,500.00 ",1 (2019)," 567,500.00 "," 567,500.00 "
657,Mike Wright,BAL,SP," 567,500.00 ",1 (2019)," 567,500.00 "," 567,500.00 "
662,Drew VerHagen,DET,RP," 567,400.00 ",1 (2019)," 567,400.00 "," 567,400.00 "
663,Hunter Dozier,KC,3B," 567,225.00 ",1 (2019)," 567,225.00 "," 567,225.00 "
664,John Hicks,DET,C," 567,100.00 ",1 (2019)," 567,100.00 "," 567,100.00 "
664,JaCoby Jones,DET,CF," 567,100.00 ",1 (2019)," 567,100.00 "," 567,100.00 "
666,Daniel Palka,CWS,OF," 567,000.00 ",1 (2019)," 567,000.00 "," 567,000.00 "
667,Josh James,HOU,RP," 566,800.00 ",1 (2019)," 566,800.00 "," 566,800.00 "
668,Dinelson Lamet,SD,SP," 566,700.00 ",1 (2019)," 566,700.00 "," 566,700.00 "
668,Tyler Glasnow,TB,SP," 566,700.00 ",1 (2019)," 566,700.00 "," 566,700.00 "
670,Framber Valdez,HOU,RP," 566,600.00 ",1 (2019)," 566,600.00 "," 566,600.00 "
670,Daniel Stumpf,DET,RP," 566,600.00 ",1 (2019)," 566,600.00 "," 566,600.00 "
672,Orlando Arcia,MIL,SS," 565,700.00 ",1 (2019)," 565,700.00 "," 565,700.00 "
673,Pablo Reyes,PIT,OF," 565,500.00 ",1 (2019)," 565,500.00 "," 565,500.00 "
674,Ryan Borucki,TOR,SP," 565,200.00 ",1 (2019)," 565,200.00 "," 565,200.00 "
675,Joey Lucchesi,SD,SP," 565,100.00 ",1 (2019)," 565,100.00 "," 565,100.00 "
676,Chad Pinder,OAK,1B," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Dylan Moore,SEA,3B," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Andrew Knapp,PHI,C," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Chris Bassitt,OAK,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Max Fried,ATL,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Chad Sobotka,ATL,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Wes Parsons,ATL,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Dylan Floro,LAD,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Brock Stewart,LAD,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Tayron Guerrero,MIA,RP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Jharel Cotton,OAK,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Bryse Wilson,ATL,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Kyle Wright,ATL,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Julio Urias,LAD,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Robert Stephenson,CIN,SP," 565,000.00 ",0 (2019)," 565,000.00 ", $NaN 
676,German Marquez,COL,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
676,Kyle Freeland,COL,SP," 565,000.00 ",1 (2019)," 565,000.00 "," 565,000.00 "
693,Freddy Peralta,MIL,SP," 564,600.00 ",1 (2019)," 564,600.00 "," 564,600.00 "
693,Alex Reyes,STL,SP," 564,600.00 ",1 (2019)," 564,600.00 "," 564,600.00 "
695,Jordan Luplow,CLE,OF," 564,500.00 ",1 (2019)," 564,500.00 "," 564,500.00 "
696,Koda Glover,WSH,RP," 564,300.00 ",1 (2019)," 564,300.00 "," 564,300.00 "
697,Ryne Stanek,TB,RP," 564,200.00 ",1 (2019)," 564,200.00 "," 564,200.00 "
698,Drew Robinson,STL,3B," 564,100.00 ",1 (2019)," 564,100.00 "," 564,100.00 "
699,Marco Hernandez,BOS,3B," 564,000.00 ",1 (2019)," 564,000.00 "," 564,000.00 "
699,Jacob Stallings,PIT,C," 564,000.00 ",1 (2019)," 564,000.00 "," 564,000.00 "
699,Tyler O'Neill,STL,OF," 564,000.00 ",1 (2019)," 564,000.00 "," 564,000.00 "
699,Randy Rosario,CHC,RP," 564,000.00 ",1 (2019)," 564,000.00 "," 564,000.00 "
699,Seranthony Dominguez,PHI,RP," 564,000.00 ",1 (2019)," 564,000.00 "," 564,000.00 "
704,Taylor Williams,MIL,RP," 563,800.00 ",1 (2019)," 563,800.00 "," 563,800.00 "
704,Adam Cimber,CLE,RP," 563,800.00 ",1 (2019)," 563,800.00 "," 563,800.00 "
706,Mike Mayers,STL,RP," 563,700.00 ",1 (2019)," 563,700.00 "," 563,700.00 "
707,Pedro Severino,BAL,C," 563,500.00 ",1 (2019)," 563,500.00 "," 563,500.00 "
707,Keynan Middleton,LAA,RP," 563,500.00 ",1 (2019)," 563,500.00 "," 563,500.00 "
707,David Hess,BAL,SP," 563,500.00 ",1 (2019)," 563,500.00 "," 563,500.00 "
710,Ryan Yarbrough,TB,SP," 563,400.00 ",1 (2019)," 563,400.00 "," 563,400.00 "
711,Phil Maton,SD,RP," 562,900.00 ",1 (2019)," 562,900.00 "," 562,900.00 "
712,Dalton Pompey,TOR,OF," 562,800.00 ",1 (2019)," 562,800.00 "," 562,800.00 "
712,Corbin Burnes,MIL,SP," 562,800.00 ",1 (2019)," 562,800.00 "," 562,800.00 "
714,Wander Suero,WSH,RP," 562,500.00 ",1 (2019)," 562,500.00 "," 562,500.00 "
714,Eric Lauer,SD,SP," 562,500.00 ",1 (2019)," 562,500.00 "," 562,500.00 "
716,Willy Adames,TB,SS," 562,400.00 ",1 (2019)," 562,400.00 "," 562,400.00 "
717,Chasen Bradford,SEA,RP," 562,300.00 ",1 (2019)," 562,300.00 "," 562,300.00 "
718,Jorge Lopez,KC,SP," 562,250.00 ",1 (2019)," 562,250.00 "," 562,250.00 "
719,Jack Flaherty,STL,SP," 562,100.00 ",1 (2019)," 562,100.00 "," 562,100.00 "
720,Renato Nunez,BAL,3B," 562,000.00 ",1 (2019)," 562,000.00 "," 562,000.00 "
720,Richard Urena,TOR,SS," 562,000.00 ",1 (2019)," 562,000.00 "," 562,000.00 "
720,Yairo Munoz,STL,SS," 562,000.00 ",1 (2019)," 562,000.00 "," 562,000.00 "
723,Yonny Chirinos,TB,SP," 561,800.00 ",1 (2019)," 561,800.00 "," 561,800.00 "
724,David Bote,CHC,3B," 561,500.00 ",1 (2019)," 561,500.00 "," 561,500.00 "
724,Justin Anderson,LAA,RP," 561,500.00 ",1 (2019)," 561,500.00 "," 561,500.00 "
724,Diego Castillo,TB,RP," 561,500.00 ",1 (2019)," 561,500.00 "," 561,500.00 "
724,David Fletcher,LAA,SS," 561,500.00 ",1 (2019)," 561,500.00 "," 561,500.00 "
728,J.D. Davis,NYM,3B," 561,420.00 ",1 (2019)," 561,420.00 "," 561,420.00 "
729,Brandon Woodruff,MIL,SP," 561,400.00 ",1 (2019)," 561,400.00 "," 561,400.00 "
730,Dereck Rodriguez,SF,SP," 561,250.00 ",1 (2019)," 561,250.00 "," 561,250.00 "
731,Bradley Zimmer,CLE,CF," 561,200.00 ",1 (2019)," 561,200.00 "," 561,200.00 "
732,Socrates Brito,SD,RF," 561,000.00 ",1 (2019)," 561,000.00 "," 561,000.00 "
733,Tyler Olson,CLE,RP," 560,900.00 ",1 (2019)," 560,900.00 "," 560,900.00 "
734,Adam Kolarek,TB,RP," 560,800.00 ",1 (2019)," 560,800.00 "," 560,800.00 "
735,Jake Bauers,CLE,LF," 560,400.00 ",1 (2019)," 560,400.00 "," 560,400.00 "
735,Greg Allen,CLE,OF," 560,400.00 ",1 (2019)," 560,400.00 "," 560,400.00 "
